"neighbourhood","avg"
"Buttes-Chaumont                                                                                                                                       ",67.7538883806038426
"Reuilly                                                                                                                                               ",79.7576923076923077
"Gobelins                                                                                                                                              ",75.9751308900523560
"Élysée                                                                                                                                                ",173.1105990783410138
"Opéra                                                                                                                                                 ",101.7958248472505092
"Bourse                                                                                                                                                ",120.6328844790928420
"Vaugirard                                                                                                                                             ",94.3656500802568218
"Palais-Bourbon                                                                                                                                        ",144.9992932862190813
"Entrepôt                                                                                                                                              ",83.6699164345403900
"Luxembourg                                                                                                                                            ",148.8437689969604863
"Popincourt                                                                                                                                            ",81.4827240861291938
"Observatoire                                                                                                                                          ",88.0352601156069364
"Batignolles-Monceau                                                                                                                                   ",91.1616401219925449
"Ménilmontant                                                                                                                                          ",66.8803343598768148
"Buttes-Montmartre                                                                                                                                     ",76.6471061093247588
"Passy                                                                                                                                                 ",129.2658371040723982
"Temple                                                                                                                                                ",120.3834745762711864
"Louvre                                                                                                                                                ",142.4649555774925962
"Panthéon                                                                                                                                              ",118.1577102803738318
"Hôtel-de-Ville                                                                                                                                        ",138.4936861094407697
