"neighbourhood","count"
"Buttes-Chaumont                                                                                                                                       ","2186"
"Reuilly                                                                                                                                               ","1820"
"Gobelins                                                                                                                                              ","1528"
"Élysée                                                                                                                                                ","1302"
"Opéra                                                                                                                                                 ","1964"
"Bourse                                                                                                                                                ","1411"
"Vaugirard                                                                                                                                             ","3115"
"Palais-Bourbon                                                                                                                                        ","1415"
"Entrepôt                                                                                                                                              ","2872"
"Luxembourg                                                                                                                                            ","1645"
"Popincourt                                                                                                                                            ","3994"
"Observatoire                                                                                                                                          ","1730"
"Batignolles-Monceau                                                                                                                                   ","2951"
"Ménilmontant                                                                                                                                          ","2273"
"Buttes-Montmartre                                                                                                                                     ","4976"
"Passy                                                                                                                                                 ","2652"
"Temple                                                                                                                                                ","1888"
"Louvre                                                                                                                                                ","1013"
"Panthéon                                                                                                                                              ","1712"
"Hôtel-de-Ville                                                                                                                                        ","1663"
